Date,Households,Persons,Benefit / Households,Benefit / Persons,Cost,State
1988-10-01,7047600.0,18446735.0,136.3995,52.1116,961288970.0,US Summary
1988-11-01,7067674.0,18434600.0,135.4848,51.9437,957562138.0,US Summary
1988-12-01,7159716.0,18709788.0,136.5145,52.2403,977404835.0,US Summary
1989-01-01,7215717.0,18814591.0,134.6671,51.6471,971719598.0,US Summary
1989-02-01,7215334.0,18805348.0,135.2913,51.9093,976171875.0,US Summary
1989-03-01,7364011.0,19188889.0,136.6334,52.435,1006169494.0,US Summary
1989-04-01,7313190.0,19036458.0,134.3907,51.6285,982824374.0,US Summary
1989-05-01,7271382.0,18858178.0,133.3553,51.4195,969677318.0,US Summary
1989-06-01,7273655.0,18856665.0,133.2974,51.4173,969559542.0,US Summary
1989-07-01,7217942.0,18696508.0,133.0168,51.3522,960107653.0,US Summary
1989-08-01,7273683.0,18784944.0,132.516,51.3113,963879454.0,US Summary
1989-09-01,7353057.0,19044857.0,132.3822,51.1116,973413984.0,US Summary
1989-10-01,7530570.0,19523488.0,157.5994,60.789,1186813542.0,US Summary
1989-11-01,7472567.0,19256464.0,153.0563,59.3943,1143723598.0,US Summary
1989-12-01,7549452.0,19461401.0,153.9371,59.7152,1162140657.0,US Summary
1990-01-01,7703464.0,19848748.0,151.0289,58.6156,1163446041.0,US Summary
1990-02-01,7755082.0,19958037.0,151.0595,58.6971,1171479164.0,US Summary
1990-03-01,7928492.0,20414960.0,151.38,58.7909,1200214839.0,US Summary
1990-04-01,7914472.0,20370671.0,150.3469,58.4132,1189916723.0,US Summary
1990-05-01,7910731.0,20290045.0,148.9738,58.0823,1178491993.0,US Summary
1990-06-01,7930300.0,20382828.0,149.1245,58.0195,1182601771.0,US Summary
1990-07-01,7926752.0,20320763.0,148.923,58.0921,1180475682.0,US Summary
1990-08-01,7940486.0,20301533.0,149.9332,58.643,1190542867.0,US Summary
1990-09-01,7987188.0,20458793.0,149.3572,58.3096,1192944183.0,US Summary
1990-10-01,8190859.0,20928991.0,163.7309,64.0784,1341096553.0,US Summary
1990-11-01,8333283.0,21294125.0,163.1462,63.8459,1359543393.0,US Summary
1990-12-01,8478766.0,21686672.0,163.6622,63.9865,1387653903.0,US Summary
1991-01-01,8618472.0,21980958.0,161.9147,63.4848,1395457397.0,US Summary
1991-02-01,8807293.0,22496484.0,162.569,63.6452,1431792659.0,US Summary
1991-03-01,8987744.0,22945164.0,163.6161,64.0893,1470539193.0,US Summary
1991-04-01,9099268.0,23207931.0,162.8957,63.8675,1482231574.0,US Summary
1991-05-01,9099447.0,23148421.0,161.7491,63.5822,1471827345.0,US Summary
1991-06-01,9119030.0,23247989.0,161.507,63.3512,1472786953.0,US Summary
1991-07-01,9155090.0,23215673.0,161.4125,63.6529,1477745820.0,US Summary
1991-08-01,9303031.0,23663074.0,162.0312,63.7018,1507380893.0,US Summary
1991-09-01,9336932.0,23680042.0,162.5498,64.0926,1517716385.0,US Summary
1991-10-01,9507747.0,24055568.0,175.3902,69.3214,1667565318.0,US Summary
1991-11-01,9646968.0,24437847.0,175.8086,69.4014,1696019721.0,US Summary
1991-12-01,9818276.0,24854461.0,175.4605,69.3123,1722719781.0,US Summary
1992-01-01,9949438.0,25102189.0,172.1717,68.2415,1713011320.0,US Summary
1992-02-01,10033543.0,25385468.0,173.932,68.7462,1745154602.0,US Summary
1992-03-01,10195482.0,25722405.0,171.7616,68.0804,1751192074.0,US Summary
1992-04-01,10237594.0,25875570.0,171.5176,67.8605,1755927843.0,US Summary
1992-05-01,10167827.0,25694638.0,171.1654,67.7332,1740380673.0,US Summary
1992-06-01,10216373.0,25748466.0,171.2789,67.9593,1749848975.0,US Summary
1992-07-01,10225574.0,25698933.0,170.8264,67.9716,1746797552.0,US Summary
1992-08-01,10268312.0,25862454.0,171.6836,68.1645,1762901052.0,US Summary
1992-09-01,10456556.0,26445826.0,177.3207,70.1118,1854164021.0,US Summary
1992-10-01,10475798.0,26223472.0,173.6038,69.3516,1818638850.0,US Summary
1992-11-01,10520692.0,26393793.0,171.2309,68.2535,1801468078.0,US Summary
1992-12-01,10641102.0,26627009.0,171.988,68.7325,1830141915.0,US Summary
1993-01-01,10718200.0,26857336.0,169.5566,67.6665,1817341586.0,US Summary
1993-02-01,10745439.0,26918029.0,170.7212,68.1504,1834473777.0,US Summary
1993-03-01,10944053.0,27386320.0,170.8578,68.2778,1869876721.0,US Summary
1993-04-01,10930446.0,27366950.0,169.7165,67.7853,1855077268.0,US Summary
1993-05-01,10901101.0,27272406.0,168.7299,67.4433,1839342155.0,US Summary
1993-06-01,10898687.0,27195390.0,167.5268,67.1372,1825822609.0,US Summary
1993-07-01,10911052.0,27288566.0,169.0439,67.5905,1844446845.0,US Summary
1993-08-01,10909152.0,27215012.0,168.5413,67.5599,1838642428.0,US Summary
1993-09-01,10887234.0,27097011.0,168.1565,67.5631,1830758939.0,US Summary
1993-10-01,10940110.0,27207775.0,172.932,69.5351,1891895456.0,US Summary
1993-11-01,10996174.0,27343082.0,172.2895,69.2872,1894525368.0,US Summary
1993-12-01,11045811.0,27446313.0,172.4352,69.3968,1904686468.0,US Summary
1994-01-01,11166553.0,27687318.0,171.7369,69.2631,1917709549.0,US Summary
1994-02-01,11291136.0,27843411.0,170.9368,69.3187,1930070263.0,US Summary
1994-03-01,11278851.0,27969969.0,171.5983,69.1968,1935431328.0,US Summary
1994-04-01,11173821.0,27718861.0,170.6224,68.78,1906503970.0,US Summary
1994-05-01,11119488.0,27520328.0,169.0851,68.3182,1880140274.0,US Summary
1994-06-01,11064817.0,27384252.0,168.5935,68.1215,1865456352.0,US Summary
1994-07-01,11027993.0,27313426.0,171.0356,69.0569,1886179453.0,US Summary
1994-08-01,11020415.0,27216765.0,169.6918,68.7104,1870074198.0,US Summary
1994-09-01,10969429.0,27032856.0,170.1003,69.0235,1865903661.0,US Summary
1994-10-01,11006043.0,27064638.0,177.1257,72.0295,1949453440.0,US Summary
1994-11-01,10960182.0,26891997.0,176.5075,71.9379,1934554800.0,US Summary
1994-12-01,11044059.0,27112215.0,176.7969,72.0175,1952555065.0,US Summary
1995-01-01,11043875.0,27066207.0,174.7091,71.2869,1929465314.0,US Summary
1995-02-01,10935792.0,26766762.0,174.2054,71.1731,1905074490.0,US Summary
1995-03-01,11080246.0,27101343.0,175.1205,71.5971,1940378677.0,US Summary
1995-04-01,10912392.0,26707357.0,173.4022,70.8506,1892232253.0,US Summary
1995-05-01,10835132.0,26458491.0,172.5571,70.6646,1869679293.0,US Summary
1995-06-01,10774488.0,26325055.0,172.452,70.5823,1858081956.0,US Summary
1995-07-01,10659183.0,26042197.0,172.4303,70.5765,1837965953.0,US Summary
1995-08-01,10664033.0,25995326.0,173.1515,71.0318,1846493744.0,US Summary
1995-09-01,10636974.0,25893686.0,173.746,71.3738,1848131872.0,US Summary
1995-10-01,10674284.0,26015906.0,176.5548,72.4402,1884596331.0,US Summary
1995-11-01,10609644.0,25857801.0,178.1452,73.0943,1890056891.0,US Summary
1995-12-01,10673816.0,25880962.0,177.8197,73.3363,1898014748.0,US Summary
1996-01-01,10688443.0,25899749.0,178.1701,73.5281,1904360481.0,US Summary
1996-02-01,10672295.0,25818291.0,178.2817,73.6948,1902674557.0,US Summary
1996-03-01,10695376.0,25885340.0,178.6283,73.8061,1910496638.0,US Summary
1996-04-01,10619593.0,25643720.0,177.2606,73.4073,1882435002.0,US Summary
1996-05-01,10572935.0,25556902.0,176.2585,72.9185,1863570021.0,US Summary
1996-06-01,10394291.0,25183399.0,176.2357,72.7402,1831845064.0,US Summary
1996-07-01,10354578.0,24968781.0,175.5085,72.7835,1817315955.0,US Summary
1996-08-01,10330444.0,24932297.0,176.4525,73.1113,1822833003.0,US Summary
1996-09-01,10301253.0,24867226.0,177.8337,73.6676,1831909676.0,US Summary
1996-10-01,10147551.0,24400846.0,176.219,73.284,1788191518.0,US Summary
1996-11-01,10026170.0,24139445.0,174.0755,72.3012,1745310916.0,US Summary
1996-12-01,9938870.0,23920683.0,173.8791,72.2455,1728161403.0,US Summary
1997-01-01,9836683.0,23694285.0,172.3021,71.5312,1694881223.0,US Summary
1997-02-01,9716829.0,23475445.0,172.8387,71.5405,1679444461.0,US Summary
1997-03-01,9570232.0,23173789.0,173.2605,71.5525,1658142763.0,US Summary
