Date,Households,Persons,Benefit / Households,Benefit / Persons,Cost,State,Region
1988-10-01,10654.0,28767.0,138.3512,51.2391,1473994.0,Delaware,MARO
1988-11-01,10670.0,28810.0,138.473,51.2845,1477507.0,Delaware,MARO
1988-12-01,11141.0,30081.0,147.6871,54.6984,1645382.0,Delaware,MARO
1989-01-01,10932.0,29517.0,148.5344,55.0116,1623778.0,Delaware,MARO
1989-02-01,10931.0,29512.0,147.9885,54.8137,1617662.0,Delaware,MARO
1989-03-01,11290.0,30483.0,149.6937,55.4421,1690042.0,Delaware,MARO
1989-04-01,11281.0,30459.0,142.0823,52.6225,1602830.0,Delaware,MARO
1989-05-01,10926.0,29501.0,140.5237,52.0444,1535362.0,Delaware,MARO
1989-06-01,10940.0,29539.0,139.8848,51.8074,1530340.0,Delaware,MARO
1989-07-01,10904.0,29441.0,139.8892,51.8105,1525352.0,Delaware,MARO
1989-08-01,11217.0,30286.0,137.6587,50.9845,1544118.0,Delaware,MARO
1989-09-01,11208.0,30262.0,140.6834,52.1043,1576779.0,Delaware,MARO
1989-10-01,11204.0,30251.0,169.7077,62.8543,1901405.0,Delaware,MARO
1989-11-01,11500.0,31049.0,168.5777,62.4382,1938644.0,Delaware,MARO
1989-12-01,11889.0,32101.0,171.0389,63.3463,2033481.0,Delaware,MARO
1990-01-01,12024.0,32464.0,171.1652,63.3961,2058090.0,Delaware,MARO
1990-02-01,12370.0,33399.0,169.8372,62.9027,2100886.0,Delaware,MARO
1990-03-01,12699.0,34288.0,171.5828,63.5479,2178930.0,Delaware,MARO
1990-04-01,12621.0,34078.0,166.1812,61.5462,2097373.0,Delaware,MARO
1990-05-01,12517.0,33797.0,163.9561,60.7225,2052239.0,Delaware,MARO
1990-06-01,12583.0,33973.0,165.1591,61.172,2078197.0,Delaware,MARO
1990-07-01,12617.0,34065.0,163.9639,60.729,2068733.0,Delaware,MARO
1990-08-01,12886.0,34791.0,165.6241,61.3444,2134232.0,Delaware,MARO
1990-09-01,12899.0,34827.0,165.6183,61.3406,2136310.0,Delaware,MARO
1990-10-01,13114.0,35408.0,179.5567,66.5021,2354707.0,Delaware,MARO
1990-11-01,13621.0,36776.0,179.6538,66.5397,2447065.0,Delaware,MARO
1990-12-01,14252.0,38479.0,179.6161,66.5269,2559888.0,Delaware,MARO
1991-01-01,14343.0,38727.0,176.4134,65.3368,2530298.0,Delaware,MARO
1991-02-01,15143.0,40886.0,178.6512,66.1673,2705315.0,Delaware,MARO
1991-03-01,15689.0,42359.0,177.2636,65.6552,2781088.0,Delaware,MARO
1991-04-01,15892.0,42909.0,177.3257,65.6753,2818060.0,Delaware,MARO
1991-05-01,15744.0,42510.0,176.9453,65.5335,2785827.0,Delaware,MARO
1991-06-01,15847.0,42786.0,177.2831,65.6618,2809406.0,Delaware,MARO
1991-07-01,15995.0,43186.0,175.261,64.9122,2803300.0,Delaware,MARO
1991-08-01,16323.0,44072.0,178.0294,65.937,2905974.0,Delaware,MARO
1991-09-01,16457.0,44433.0,178.024,65.9362,2929741.0,Delaware,MARO
1991-10-01,16473.0,44477.0,191.9085,71.0774,3161308.0,Delaware,MARO
1991-11-01,17348.0,46841.0,191.9905,71.1055,3330652.0,Delaware,MARO
1991-12-01,17841.0,48172.0,190.5822,70.5841,3400177.0,Delaware,MARO
1992-01-01,18225.0,49208.0,187.9292,69.6027,3425009.0,Delaware,MARO
1992-02-01,18652.0,50361.0,189.3277,70.1205,3531340.0,Delaware,MARO
1992-03-01,19206.0,51855.0,187.3892,69.405,3598997.0,Delaware,MARO
1992-04-01,19127.0,51644.0,186.3823,69.029,3564934.0,Delaware,MARO
1992-05-01,19282.0,52062.0,186.3359,69.0125,3592929.0,Delaware,MARO
1992-06-01,19328.0,52187.0,184.5815,68.3617,3567592.0,Delaware,MARO
1992-07-01,19434.0,52473.0,182.7825,67.6957,3552195.0,Delaware,MARO
1992-08-01,20133.0,54360.0,182.4408,67.5696,3673081.0,Delaware,MARO
1992-09-01,19931.0,53815.0,180.9034,66.9996,3605586.0,Delaware,MARO
1992-10-01,20434.0,55171.0,184.126,68.1958,3762430.0,Delaware,MARO
1992-11-01,20805.0,56174.0,183.0282,67.7876,3807902.0,Delaware,MARO
1992-12-01,21208.0,57262.0,180.9857,67.0313,3838344.0,Delaware,MARO
1993-01-01,21172.0,57163.0,181.1338,67.0882,3834964.0,Delaware,MARO
1993-02-01,21633.0,58408.0,179.7576,66.5782,3888697.0,Delaware,MARO
1993-03-01,22061.0,59565.0,180.9508,67.0185,3991955.0,Delaware,MARO
1993-04-01,22080.0,59615.0,181.809,67.3378,4014342.0,Delaware,MARO
1993-05-01,21889.0,59102.0,180.1667,66.7265,3943669.0,Delaware,MARO
1993-06-01,21607.0,58339.0,178.0287,65.9364,3846666.0,Delaware,MARO
1993-07-01,21513.0,58084.0,180.1328,66.7171,3875198.0,Delaware,MARO
1993-08-01,21839.0,58964.0,178.7996,66.2235,3904805.0,Delaware,MARO
1993-09-01,21026.0,56770.0,177.8692,65.8777,3739877.0,Delaware,MARO
1993-10-01,21542.0,58164.0,183.4946,67.9603,3952841.0,Delaware,MARO
1993-11-01,21888.0,59095.0,182.7495,67.688,4000021.0,Delaware,MARO
1993-12-01,22123.0,59731.0,181.3263,67.1591,4011481.0,Delaware,MARO
1994-01-01,22225.0,60009.0,182.6835,67.6589,4060140.0,Delaware,MARO
1994-02-01,21949.0,59261.0,180.669,66.9159,3965504.0,Delaware,MARO
1994-03-01,22858.0,61717.0,182.6025,67.6301,4173929.0,Delaware,MARO
1994-04-01,22450.0,60614.0,184.1248,68.1955,4133601.0,Delaware,MARO
1994-05-01,22265.0,60115.0,181.2682,67.1369,4035937.0,Delaware,MARO
1994-06-01,21540.0,58158.0,180.7344,66.9386,3893018.0,Delaware,MARO
1994-07-01,21566.0,58229.0,181.7933,67.3299,3920555.0,Delaware,MARO
1994-08-01,21647.0,58446.0,181.1403,67.09,3921144.0,Delaware,MARO
1994-09-01,21247.0,57366.0,179.893,66.6281,3822187.0,Delaware,MARO
1994-10-01,21421.0,57836.0,187.8833,69.5873,4024649.0,Delaware,MARO
1994-11-01,20970.0,56621.0,187.1142,69.2991,3923785.0,Delaware,MARO
1994-12-01,21693.0,58571.0,187.3526,69.39,4064239.0,Delaware,MARO
1995-01-01,21782.0,58811.0,186.7259,69.1582,4067264.0,Delaware,MARO
1995-02-01,21219.0,57292.0,183.0543,67.7971,3884230.0,Delaware,MARO
1995-03-01,21942.0,59242.0,184.7421,68.4246,4053611.0,Delaware,MARO
1995-04-01,21443.0,57898.0,185.7535,68.7953,3983113.0,Delaware,MARO
1995-05-01,21089.0,56941.0,181.753,67.3151,3832988.0,Delaware,MARO
1995-06-01,20883.0,56386.0,182.0659,67.4296,3802083.0,Delaware,MARO
1995-07-01,20689.0,55860.0,182.5725,67.6198,3777242.0,Delaware,MARO
1995-08-01,20353.0,54952.0,180.0799,66.6976,3665166.0,Delaware,MARO
1995-09-01,20248.0,54669.0,183.1675,67.8406,3708776.0,Delaware,MARO
1995-10-01,20095.0,54257.0,186.9495,69.2399,3756750.0,Delaware,MARO
1995-11-01,20392.0,55058.0,186.9449,69.2393,3812180.0,Delaware,MARO
1995-12-01,21131.0,57053.0,187.469,69.4338,3961407.0,Delaware,MARO
1996-01-01,21182.0,57192.0,186.0828,68.9188,3941605.0,Delaware,MARO
1996-02-01,21673.0,58517.0,186.6503,69.1298,4045271.0,Delaware,MARO
1996-03-01,21883.0,59083.0,185.645,68.7587,4062470.0,Delaware,MARO
1996-04-01,21933.0,59220.0,183.8157,68.0788,4031629.0,Delaware,MARO
1996-05-01,21568.0,58232.0,182.1654,67.4705,3928944.0,Delaware,MARO
1996-06-01,21426.0,57850.0,182.6526,67.6493,3913514.0,Delaware,MARO
1996-07-01,22016.0,59443.0,181.2482,67.1292,3990361.0,Delaware,MARO
