Year,LocationDesc,Weighted_Data_Value,Agri_Machinery_ETF,Food_Beverage_ETF,Investment_Funds_ETF,Restaurant_FastFood_ETF,Retail_ETF
2001,National,10.777436651044562,130.22745967741935,274.0280241935484,221.96456733870968,149.9063709677419,19.27429072580645
2003,National,12.199632628312584,162.2176984126984,296.2410476190476,264.534740327381,117.39434126984128,41.563900793650795
2005,National,13.139717147908074,209.00539682539682,345.6885170634921,309.11720595238097,197.92346825396828,46.49704365079365
2007,National,13.07544934096658,335.07621513944224,381.61923266932274,380.8332976095617,298.6940422310757,48.05191274900398
2009,National,11.931245211664791,192.29801587301586,298.6527380952381,256.5914126984127,228.61392857142857,42.35936507936508
2011,National,13.146011957095128,344.57900793650794,330.0024404761905,409.9006630952381,541.9067694444444,62.210835317460315
2013,National,13.782396166134188,429.1039652014652,431.91401388888886,544.4782099206349,747.108615079365,100.74167857142857
2015,National,13.943989765338848,390.6388888888889,606.0079166666667,765.3881365079366,1125.8968253968253,87.50954365079365
2017,National,14.863031402118928,556.9477290836654,692.4021314741036,932.2967207171315,1002.2108366533865,63.27422310756972
2019,National,15.455182223176426,613.0854761904761,812.5099999999999,1134.1579361111112,1573.7494047619048,98.22801587301586
