,Year,Agri_Forest_Fish,Manufacturing,Wholesale Trade,Retail Trade,Transport_Ware_Util,Agri_Machinery_ETF,Food_Beverage_ETF,Investment_Funds_ETF,Restaurant_FastFood_ETF,Retail_ETF
0,2010,50952.557692307695,301889.6153846154,84243.84615384616,316159.51923076925,138986.09615384616,61.67844935204724,44.504492993669544,102.7665001817482,78.24138638213353,55.45622502407827
1,2011,51623.11538461538,296034.17307692306,80639.75,316990.25,138740.6923076923,79.66751410730144,44.25509014286029,109.27900840964456,145.4213375517693,62.292584514668086
2,2012,52190.96153846154,292063.8653846154,77927.53846153847,318648.6153846154,137272.5576923077,87.59732925581181,48.14876583855824,118.94053593696373,193.05974822230908,89.65669193611173
3,2013,52804.557692307695,287881.5961538461,76346.57692307692,318487.76923076925,135604.98076923078,96.38528347425613,58.923661201371864,142.13997566113417,230.63369392577872,100.83466819150168
4,2014,54257.5,289496.3846153846,76319.17307692308,322015.28846153844,136677.13461538462,97.78461919033148,67.66502674323209,177.51595525715388,350.5532715999188,67.45582864657877
5,2015,55132.519230769234,293606.98076923075,76888.25,326531.07692307694,139718.76923076922,83.72217530422769,82.71469230946849,191.2366536315554,387.9379267081499,87.33035742331317
6,2016,54964.442307692305,296392.03846153844,77363.13461538461,330190.6346153846,143277.8076923077,88.6860236623224,87.83120196063236,194.30440857196507,272.21315087249167,82.90356281064426
7,2017,54468.769230769234,299423.51923076925,78297.38461538461,332808.82692307694,148473.63461538462,117.1154912364148,103.13429030192742,233.58142132688647,249.61301551669237,63.331385898276096
8,2018,53986.40384615384,300820.1923076923,77963.5,334182.07692307694,154277.23076923078,125.43273047979652,95.02274959687372,266.8903317363163,273.96568788575956,78.15447355096974
9,2019,53031.21153846154,302752.3653846154,77783.15384615384,334720.96153846156,160465.48076923078,125.59275682200762,138.07957864962114,284.00480133369786,419.1241095324124,98.05859345098462
10,2020,51386.59615384616,302102.1538461539,76936.17307692308,333297.3076923077,165697.84615384616,133.20602120035178,136.24943441397994,321.9974709736942,582.3258308760744,120.79017115417156
11,2021,50539.807692307695,305373.73076923075,75905.98076923077,334520.3461538461,172036.78846153847,231.15349603533105,191.65839212213848,331.4836171199912,901.6277825582706,188.5489637925546
12,2022,50387.692307692305,307193.9038461539,73975.92307692308,338628.92307692306,177531.78846153847,242.9737873421971,259.02572002027046,299.6099022462238,876.5801517831918,206.7007540673501
