,Year,Beef,Broilers,Lamb and Mutton,Other Chicken,Pork,Turkey,Veal,Agri_Machinery_ETF,Food_Beverage_ETF,Investment_Funds_ETF,Restaurant_FastFood_ETF,Retail_ETF
0,2001,2160.4166666666665,2605.483333333333,18.25,42.99166666666667,1584.9583333333333,462.10833333333335,15.916666666666666,34.25468820664299,39.818913894304295,111.49574657899952,30.839900793666914,19.52138803622961
1,2002,2241.7916666666665,2686.65,17.775000000000002,45.59166666666667,1629.1666666666667,472.43333333333334,16.045833333333334,37.34722121112149,42.96085213904087,96.26376233527108,29.173834946153608,46.39531071977293
2,2003,2171.5416666666665,2729.0833333333335,16.266666666666666,41.88333333333333,1653.5,472.85833333333335,15.7125,42.52062642356643,44.42856472487531,91.97196323823128,23.858357344841817,41.22451407693587
3,2004,2030.7916666666667,2838.616666666667,15.804166666666667,42.01666666666667,1701.4166666666667,454.4666666666667,13.691666666666668,55.55049471013397,45.95299950499032,100.69861983985555,29.97645911179056,37.561603401560085
4,2005,2042.125,2947.066666666667,15.279166666666667,43.03333333333333,1716.3083333333334,458.8833333333334,12.8125,55.32788014314286,45.61580339127645,105.04911001952269,36.067338252516265,46.506956309361016
5,2006,2164.3166666666666,2958.2999999999997,15.104166666666666,42.050000000000004,1747.1291666666666,474.18333333333334,12.095833333333333,61.071519766402695,46.000083244237565,113.3891569519308,40.772487885163194,53.05732659849628
6,2007,2187.1,3013.25,14.904166666666667,41.516666666666666,1821.2749999999999,493.2416666666666,11.3125,81.25750063477429,48.33192408538551,129.13046854688943,51.56999072471632,47.89032003823065
7,2008,2198.375,3075.525,14.141666666666666,46.60833333333333,1938.1958333333332,517.975,11.799999999999999,63.93042366174104,42.75378321809017,108.62086980443028,45.183807905364944,36.97986824919862
8,2009,2148.4708333333333,2959.2000000000003,13.85,41.675000000000004,1909.4083333333335,474.93333333333334,11.4,43.40413418311518,39.8821858225563,86.68813768182231,44.80714889783982,42.16508399889616
9,2010,2177.4375,3075.816666666667,13.241666666666667,41.99166666666667,1862.9624999999999,469.93333333333334,11.0375,61.67844935204724,44.504492993669544,102.7665001817482,78.24138638213353,55.45622502407827
10,2011,2168.733333333333,3100.2083333333335,12.0625,43.458333333333336,1889.8874999999998,482.7416666666666,10.654166666666667,79.66751410730144,44.25509014286029,109.27900840964456,145.4213375517693,62.292584514668086
11,2012,2145.2166666666667,3086.616666666667,12.666666666666666,43.041666666666664,1930.9375,498.7166666666667,9.708333333333334,87.59732925581181,48.14876583855824,118.94053593696373,193.05974822230908,89.65669193611173
12,2013,2129.3624999999997,3152.508333333333,12.5625,43.60833333333333,1926.125,485.3333333333333,9.179166666666667,96.38528347425613,58.923661201371864,142.13997566113417,230.63369392577872,100.83466819150168
13,2014,2007.6000000000001,3213.775,12.541666666666666,43.43333333333334,1898.0375000000001,475.31666666666666,7.7625,97.78461919033148,67.66502674323209,177.51595525715388,350.5532715999188,67.45582864657877
14,2015,1962.1958333333332,3337.3583333333336,12.058333333333332,43.550000000000004,2035.6916666666666,470.01666666666665,6.816666666666666,83.72217530422769,82.71469230946849,191.2366536315554,387.9379267081499,87.33035742331317
15,2016,2088.704166666667,3391.366666666667,12.008333333333333,45.699999999999996,2072.0833333333335,496.97499999999997,6.2250000000000005,88.6860236623224,87.83120196063236,194.30440857196507,272.21315087249167,82.90356281064426
16,2017,2168.454166666667,3471.8583333333336,11.566666666666668,44.625,2125.85,499.8416666666667,6.116666666666667,117.1154912364148,103.13429030192742,233.58142132688647,249.61301551669237,63.331385898276096
17,2018,2225.3458333333333,3550.0499999999997,12.204166666666666,44.958333333333336,2187.15,490.9166666666667,6.2375,125.43273047979652,95.02274959687372,266.8903317363163,273.96568788575956,78.15447355096974
18,2019,2249.0,3658.75,11.766666666666666,44.041666666666664,2297.6749999999997,484.9083333333333,6.1375,125.59275682200762,138.07957864962114,284.00480133369786,419.1241095324124,98.05859345098462
19,2020,2246.3333333333335,3715.2833333333333,10.895833333333334,45.78333333333333,2352.375,476.625,5.279166666666667,133.20602120035178,136.24943441397994,321.9974709736942,582.3258308760744,120.79017115417156
20,2021,2309.7000000000003,3741.6083333333336,10.845833333333333,44.775,2300.6291666666666,466.7583333333334,4.375,231.15349603533105,191.65839212213848,331.4836171199912,901.6277825582706,188.5489637925546
21,2022,2338.7208333333333,3850.4833333333336,10.333333333333334,47.44166666666666,2244.4249999999997,436.325,4.429166666666666,242.9737873421971,259.02572002027046,299.6099022462238,876.5801517831918,206.7007540673501
22,2023,2229.641666666667,3865.2333333333336,10.166666666666666,48.23333333333333,2269.8333333333335,456.34999999999997,3.9416666666666664,271.2081479236578,319.1702290569472,328.5570254645828,1156.3458094875712,219.10758469918213
