,Year,Agri_Forest_Fish,Manufacturing,Wholesale Trade,Retail Trade,Transport_Ware_Util,Agri_Machinery_ETF,Food_Beverage_ETF,Investment_Funds_ETF,Restaurant_FastFood_ETF,Retail_ETF
0,2010,50952.557692307695,301889.6153846154,84243.84615384616,316159.51923076925,138986.09615384616,269.84492063492064,335.3604432539683,368.1125097619048,354.4546801587302,55.64436507936507
1,2011,51623.11538461538,296034.17307692306,80639.75,316990.25,138740.6923076923,344.57900793650794,330.0024404761905,409.9006630952381,541.9067694444444,62.210835317460315
2,2012,52190.96153846154,292063.8653846154,77927.53846153847,318648.6153846154,137272.5576923077,373.7206844,348.96648,447.7353468,649.8300655999999,89.8221
3,2013,52804.557692307695,287881.5961538461,76346.57692307692,318487.76923076925,135604.98076923078,429.1039652014652,431.91401388888886,544.4782099206349,747.108615079365,100.74167857142857
4,2014,54257.5,289496.3846153846,76319.17307692308,322015.28846153844,136677.13461538462,443.45345238095234,509.2075396825396,709.7499170634921,1022.644123015873,67.55305555555555
5,2015,55132.519230769234,293606.98076923075,76888.25,326531.07692307694,139718.76923076922,390.6388888888889,606.0079166666667,765.3881365079366,1125.8968253968253,87.50954365079365
6,2016,54964.442307692305,296392.03846153844,77363.13461538461,330190.6346153846,143277.8076923077,410.77392857142854,634.5517857142856,777.059317063492,940.544365079365,83.19049603174604
7,2017,54468.769230769234,299423.51923076925,78297.38461538461,332808.82692307694,148473.63461538462,556.9477290836654,692.4021314741036,932.2967207171316,1002.2108366533864,63.27422310756972
8,2018,53986.40384615384,300820.1923076923,77963.5,334182.07692307694,154277.23076923078,608.4501195219125,635.2114342629482,1068.4436888446216,1153.1947410358566,78.04083665338645
9,2019,53031.21153846154,302752.3653846154,77783.15384615384,334720.96153846156,160465.48076923078,613.0854761904761,812.5099999999999,1134.1579361111112,1573.7494047619048,98.22801587301586
10,2020,51386.59615384616,302102.1538461539,76936.17307692308,333297.3076923077,165697.84615384616,644.0275494071145,794.693932806324,1282.6485154150198,1971.38476284585,120.96330039525692
11,2021,50539.807692307695,305373.73076923075,75905.98076923077,334520.3461538461,172036.78846153847,1095.5492857142858,1004.1055952380952,1335.3136404761904,2762.6582539682536,189.23174603174604
12,2022,50387.692307692305,307193.9038461539,73975.92307692308,338628.92307692306,177531.78846153847,1112.0122709163347,1248.3538844621514,1161.8328685258962,2540.058625498008,207.753625498008
