,Year,Month,Coffee,Corn,Sugar
0,1990,1,75.82998657,105.9005127,14.20000076
1,1990,2,84.01000977,106.2941666,14.65000153
2,1990,3,93.95999146,109.8373184,15.31000137
3,1990,4,93.73001099,118.4983368,15.24000168
4,1990,5,92.01998901,121.254097,14.61999893
5,1990,6,88.26000977,120.0730667,12.97000122
6,1990,7,86.48001099,114.9551926,12.0
7,1990,8,94.42001343,109.8373184,10.93000031
8,1990,9,94.92001343,102.3573608,11.02000046
9,1990,10,91.41000366,99.99526978,9.38999939
10,1990,11,84.83999634,99.99526978,10.06000137
11,1990,12,89.89001465,102.3573608,9.740001678
12,1991,1,86.32000732,105.506813,8.799999237
13,1991,2,89.57000732,106.2941666,8.509998322
14,1991,3,93.72000122,109.0499573,9.13999939
15,1991,4,92.26998901,110.2310104,8.509998322
16,1991,5,87.58999634,105.7351608,7.588099957
17,1991,6,85.5,105.1131363,9.200000763
18,1991,7,82.80825806,105.7298965,10.3219986
19,1991,8,81.61880493,110.1188126,9.588298798
20,1991,9,87.45098877,108.8531265,9.295501709
21,1991,10,79.86181641,109.5233231,9.125881195
22,1991,11,78.51779175,106.7978668,8.63299942
23,1991,12,75.09667969,106.7206802,9.001903534
24,1992,1,73.03181818,109.5863571,8.424091339
25,1992,2,69.298,113.921257,7.842999935
26,1992,3,69.89363636,116.6845932,8.250453949
27,1992,4,66.52227273,109.0551376,9.455715179
28,1992,5,60.79666667,109.1779099,9.613334656
29,1992,6,59.44818182,110.2019272,10.34772873
30,1992,7,58.34913043,102.3940582,10.31217575
31,1992,8,53.35380952,97.53993225,9.864761353
32,1992,9,51.67318182,98.2166748,9.312274933
33,1992,10,50.83,94.55976868,8.70545578
34,1992,11,52.51285714,95.17266083,8.559524536
35,1992,12,75.13913043,94.04341888,8.148636818
36,1993,1,71.81904762,94.09521484,8.237999916
37,1993,2,67.4365,94.2540741,8.559499741
38,1993,3,64.68130435,97.53518677,10.62478256
39,1993,4,58.41454545,100.4873734,11.15380955
40,1993,5,61.65904762,99.22267151,11.82800007
41,1993,6,63.19045455,92.72621155,10.39863682
42,1993,7,70.47909091,101.8886871,9.675000191
43,1993,8,76.18727273,100.3128967,9.342272758
44,1993,9,81.12181818,101.0316772,9.535908699
45,1993,10,76.64333333,105.7676315,10.29476166
46,1993,11,79.23863636,115.9284592,10.07409096
47,1993,12,82.5526087,121.2294998,10.52260876
48,1994,1,79.58238095,126.7164536,10.29904747
49,1994,2,83.2,123.6490097,10.82250023
50,1994,3,87.01478261,120.1072922,11.72913074
51,1994,4,90.93761905,113.4167328,11.01350021
52,1994,5,117.1663636,110.6012573,11.57999992
53,1994,6,133.3613636,112.0830994,12.04818153
54,1994,7,201.41,98.73155212,11.77428532
55,1994,8,199.1395652,96.15687561,12.09478283
56,1994,9,218.6804545,97.60505676,12.59409046
57,1994,10,207.3138095,96.11000061,12.75809479
58,1994,11,188.1163636,95.60571289,13.92590904
59,1994,12,162.265,102.5552368,14.67476177
60,1995,1,171.0881818,106.8987732,14.79500008
61,1995,2,167.475,106.9776611,14.40750027
62,1995,3,179.2108696,109.6270676,14.5934782
63,1995,4,173.237,109.6404877,13.60526276
64,1995,5,173.2456522,111.9275818,13.52227306
65,1995,6,158.6031818,120.0074387,14.02045441
66,1995,7,140.2966667,127.3095627,13.59238052
67,1995,8,150.9917391,126.297081,12.98086929
68,1995,9,137.1380952,130.5130157,11.68999958
69,1995,10,127.0859091,140.8163605,11.83727264
70,1995,11,125.2604545,143.2122345,11.98409081
