,Year,Poultry,Red Meat
0,1990,963.3958333333334,795.2708333333334
1,1991,1014.9250000000001,812.1354166666666
2,1992,1076.5916666666667,841.2708333333334
3,1993,1126.8166666666666,837.0520833333334
4,1994,1200.6666666666667,877.7395833333334
5,1995,1256.2583333333334,898.4479166666666
6,1996,1324.4916666666666,890.3645833333334
7,1997,1362.4666666666667,892.6875
8,1998,1382.1833333333334,933.0520833333334
9,1999,1459.9666666666665,953.7708333333334
10,2000,1496.8333333333333,954.75
11,2001,1036.861111111111,944.8854166666666
12,2002,1068.225,976.1947916666667
13,2003,1081.275,964.2552083333334
14,2004,1111.6999999999998,940.4260416666666
15,2005,1149.6611111111113,946.63125
16,2006,1158.177777777778,984.6614583333334
17,2007,1182.6694444444445,1008.6479166666667
18,2008,1213.3694444444443,1040.628125
19,2009,1158.6027777777776,1020.7822916666668
20,2010,1195.913888888889,1016.1697916666667
21,2011,1208.802777777778,1020.3343749999999
22,2012,1209.4583333333333,1024.6322916666666
23,2013,1227.15,1019.3072916666666
24,2014,1244.1750000000002,981.4854166666668
25,2015,1283.6416666666667,1004.1906250000001
26,2016,1311.3472222222222,1044.7552083333333
27,2017,1338.775,1077.996875
28,2018,1361.975,1107.734375
29,2019,1395.9,1141.1447916666666
30,2020,1412.5638888888889,1153.7208333333333
31,2021,1417.7138888888887,1156.3875
32,2022,1444.75,1149.4770833333334
33,2023,1456.6055555555556,1128.3958333333333
