,Year,Beef,Broilers,Lamb and Mutton,Other Chicken,Pork,Turkey,Veal
11,2001,2160.4166666666665,2605.483333333333,18.25,42.99166666666667,1584.9583333333333,462.10833333333335,15.916666666666666
12,2002,2241.7916666666665,2686.65,17.775000000000002,45.59166666666667,1629.1666666666667,472.43333333333334,16.045833333333334
13,2003,2171.5416666666665,2729.0833333333335,16.266666666666666,41.88333333333333,1653.5,472.85833333333335,15.7125
14,2004,2030.7916666666667,2838.616666666667,15.804166666666667,42.01666666666667,1701.4166666666667,454.4666666666667,13.691666666666668
15,2005,2042.125,2947.066666666667,15.279166666666667,43.03333333333333,1716.3083333333334,458.8833333333334,12.8125
16,2006,2164.3166666666666,2958.2999999999997,15.104166666666666,42.050000000000004,1747.1291666666666,474.18333333333334,12.095833333333333
17,2007,2187.1,3013.25,14.904166666666667,41.516666666666666,1821.2749999999999,493.2416666666666,11.3125
18,2008,2198.375,3075.525,14.141666666666666,46.60833333333333,1938.1958333333332,517.975,11.799999999999999
19,2009,2148.4708333333333,2959.2000000000003,13.85,41.675000000000004,1909.4083333333335,474.93333333333334,11.4
20,2010,2177.4375,3075.816666666667,13.241666666666667,41.99166666666667,1862.9624999999999,469.93333333333334,11.0375
21,2011,2168.733333333333,3100.2083333333335,12.0625,43.458333333333336,1889.8874999999998,482.7416666666666,10.654166666666667
22,2012,2145.2166666666667,3086.616666666667,12.666666666666666,43.041666666666664,1930.9375,498.7166666666667,9.708333333333334
23,2013,2129.3624999999997,3152.508333333333,12.5625,43.60833333333333,1926.125,485.3333333333333,9.179166666666667
24,2014,2007.6000000000001,3213.775,12.541666666666666,43.43333333333334,1898.0375000000001,475.31666666666666,7.7625
25,2015,1962.1958333333332,3337.3583333333336,12.058333333333332,43.550000000000004,2035.6916666666666,470.01666666666665,6.816666666666666
26,2016,2088.704166666667,3391.366666666667,12.008333333333333,45.699999999999996,2072.0833333333335,496.97499999999997,6.2250000000000005
27,2017,2168.454166666667,3471.8583333333336,11.566666666666668,44.625,2125.85,499.8416666666667,6.116666666666667
28,2018,2225.3458333333333,3550.0499999999997,12.204166666666666,44.958333333333336,2187.15,490.9166666666667,6.2375
29,2019,2249.0,3658.75,11.766666666666666,44.041666666666664,2297.6749999999997,484.9083333333333,6.1375
30,2020,2246.3333333333335,3715.2833333333333,10.895833333333334,45.78333333333333,2352.375,476.625,5.279166666666667
31,2021,2309.7000000000003,3741.6083333333336,10.845833333333333,44.775,2300.6291666666666,466.7583333333334,4.375
32,2022,2338.7208333333333,3850.4833333333336,10.333333333333334,47.44166666666666,2244.4249999999997,436.325,4.429166666666666
33,2023,2229.641666666667,3865.2333333333336,10.166666666666666,48.23333333333333,2269.8333333333335,456.34999999999997,3.9416666666666664
