,Year,Agri_Forest_Fish,Manufacturing,Wholesale Trade,Retail Trade,Transport_Ware_Util
0,2010,50952.557692307695,301889.6153846154,84243.84615384616,316159.51923076925,138986.09615384616
1,2011,51623.11538461538,296034.17307692306,80639.75,316990.25,138740.6923076923
2,2012,52190.96153846154,292063.8653846154,77927.53846153847,318648.6153846154,137272.5576923077
3,2013,52804.557692307695,287881.5961538461,76346.57692307692,318487.76923076925,135604.98076923078
4,2014,54257.5,289496.3846153846,76319.17307692308,322015.28846153844,136677.13461538462
5,2015,55132.519230769234,293606.98076923075,76888.25,326531.07692307694,139718.76923076922
6,2016,54964.442307692305,296392.03846153844,77363.13461538461,330190.6346153846,143277.8076923077
7,2017,54468.769230769234,299423.51923076925,78297.38461538461,332808.82692307694,148473.63461538462
8,2018,53986.40384615384,300820.1923076923,77963.5,334182.07692307694,154277.23076923078
9,2019,53031.21153846154,302752.3653846154,77783.15384615384,334720.96153846156,160465.48076923078
10,2020,51386.59615384616,302102.1538461539,76936.17307692308,333297.3076923077,165697.84615384616
11,2021,50539.807692307695,305373.73076923075,75905.98076923077,334520.3461538461,172036.78846153847
12,2022,50387.692307692305,307193.9038461539,73975.92307692308,338628.92307692306,177531.78846153847
