,Year,Label (Grouping),Estimate
0,2010,"Agriculture, forestry, fishing and hunting, and mining",50952.557692307695
1,2010,"Arts, entertainment, and recreation, and accommodation and food services",243475.61538461538
2,2010,Construction,196185.28846153847
3,2010,"Educational services, and health care and social assistance",606453.1153846154
4,2010,"Finance and insurance, and real estate and rental and leasing",192198.3076923077
5,2010,Information,65160.596153846156
6,2010,Manufacturing,301889.6153846154
7,2010,"Other services, except public administration",133851.25
8,2010,"Professional, scientific, and management, and administrative and waste management services",285969.48076923075
9,2010,Public administration,134143.21153846153
10,2010,Retail trade,316159.51923076925
11,2010,"Transportation and warehousing, and utilities",138986.09615384616
12,2010,Wholesale trade,84243.84615384616
13,2011,"Agriculture, forestry, fishing and hunting, and mining",51623.11538461538
14,2011,"Arts, entertainment, and recreation, and accommodation and food services",247582.5576923077
15,2011,Construction,186962.48076923078
16,2011,"Educational services, and health care and social assistance",618981.9230769231
17,2011,"Finance and insurance, and real estate and rental and leasing",188452.76923076922
18,2011,Information,62998.192307692305
19,2011,Manufacturing,296034.17307692306
20,2011,"Other services, except public administration",135042.88461538462
21,2011,"Professional, scientific, and management, and administrative and waste management services",289239.3653846154
22,2011,Public administration,136088.0576923077
23,2011,Retail trade,316990.25
24,2011,"Transportation and warehousing, and utilities",138740.6923076923
25,2011,Wholesale trade,80639.75
26,2012,"Agriculture, forestry, fishing and hunting, and mining",52190.96153846154
27,2012,"Arts, entertainment, and recreation, and accommodation and food services",252573.03846153847
28,2012,Construction,178770.28846153847
29,2012,"Educational services, and health care and social assistance",630229.5961538461
30,2012,"Finance and insurance, and real estate and rental and leasing",185309.51923076922
31,2012,Information,60744.807692307695
32,2012,Manufacturing,292063.8653846154
33,2012,"Other services, except public administration",136318.42307692306
34,2012,"Professional, scientific, and management, and administrative and waste management services",293101.82692307694
35,2012,Public administration,137117.73076923078
36,2012,Retail trade,318648.6153846154
37,2012,"Transportation and warehousing, and utilities",137272.5576923077
38,2012,Wholesale trade,77927.53846153847
39,2013,"Agriculture, forestry, fishing and hunting, and mining",52804.557692307695
40,2013,"Arts, entertainment, and recreation, and accommodation and food services",256872.5576923077
41,2013,Construction,171736.71153846153
42,2013,"Educational services, and health care and social assistance",637067.0576923077
43,2013,"Finance and insurance, and real estate and rental and leasing",183242.11538461538
44,2013,Information,59145.0
45,2013,Manufacturing,287881.5961538461
46,2013,"Other services, except public administration",136604.3076923077
47,2013,"Professional, scientific, and management, and administrative and waste management services",296207.73076923075
48,2013,Public administration,137303.5576923077
49,2013,Retail trade,318487.76923076925
50,2013,"Transportation and warehousing, and utilities",135604.98076923078
51,2013,Wholesale trade,76346.57692307692
52,2014,"Agriculture, forestry, fishing and hunting, and mining",54257.5
53,2014,"Arts, entertainment, and recreation, and accommodation and food services",263543.51923076925
54,2014,Construction,171258.61538461538
55,2014,"Educational services, and health care and social assistance",645186.2692307692
56,2014,"Finance and insurance, and real estate and rental and leasing",183189.63461538462
57,2014,Information,59311.057692307695
58,2014,Manufacturing,289496.3846153846
59,2014,"Other services, except public administration",137936.90384615384
60,2014,"Professional, scientific, and management, and administrative and waste management services",302343.73076923075
61,2014,Public administration,137625.92307692306
